artisian,art,atisn
bacon,bcn,ba,bac
big,b
burger,bg,bger,buger
buttermilk,btmilk,btrmilk,btrmk,btmk
cheese,che,ceese,chese
cheeseburger,chebger,cburger
chicken,chk,chkn,chic,chi,chick,cken,ckn
clubhouse,clbhs,clbhouse
crispy,crpy,crspy,cpy
double,dbl
filet,filt,flt
fish,fsh
grilled,grll
mac,mc
mcwrap,mcwrp
meal,mel,mal
mozzarella
pounder
premium,prm
quarter,qtr
ranch
sprite
sticks,stick
sweet
tender,tndr,tinder,
